ProductId,ProductCategory,ChannelId,Amount,Value,TransactionStartTime,PricingStrategy,FraudResult,day,hour
ProductId_10,airtime,ChannelId_3,1000.0,1000,2018-11-15 02:18:49+00:00,2,0,Thursday,2
ProductId_6,financial_services,ChannelId_2,-20.0,20,2018-11-15 02:19:08+00:00,2,0,Thursday,2
ProductId_1,airtime,ChannelId_3,500.0,500,2018-11-15 02:44:21+00:00,2,0,Thursday,2
ProductId_21,utility_bill,ChannelId_3,20000.0,21800,2018-11-15 03:32:55+00:00,2,0,Thursday,3
ProductId_6,financial_services,ChannelId_2,-644.0,644,2018-11-15 03:34:21+00:00,2,0,Thursday,3
ProductId_3,airtime,ChannelId_3,2000.0,2000,2018-11-15 03:35:10+00:00,2,0,Thursday,3
ProductId_3,airtime,ChannelId_3,10000.0,10000,2018-11-15 03:44:31+00:00,4,0,Thursday,3
ProductId_6,financial_services,ChannelId_2,-500.0,500,2018-11-15 03:45:13+00:00,2,0,Thursday,3
ProductId_10,airtime,ChannelId_3,500.0,500,2018-11-15 04:14:59+00:00,2,0,Thursday,4
ProductId_15,financial_services,ChannelId_3,600.0,600,2018-11-15 04:31:48+00:00,2,0,Thursday,4
ProductId_3,airtime,ChannelId_3,890.0,890,2018-11-15 04:32:08+00:00,2,0,Thursday,4
ProductId_6,financial_services,ChannelId_2,-40.0,40,2018-11-15 04:32:42+00:00,2,0,Thursday,4
ProductId_15,financial_services,ChannelId_3,600.0,600,2018-11-15 04:35:10+00:00,2,0,Thursday,4
ProductId_15,financial_services,ChannelId_3,4000.0,4000,2018-11-15 04:47:31+00:00,2,0,Thursday,4
ProductId_15,financial_services,ChannelId_3,4000.0,4000,2018-11-15 04:48:09+00:00,2,0,Thursday,4
ProductId_15,financial_services,ChannelId_3,4000.0,4000,2018-11-15 04:51:20+00:00,2,0,Thursday,4
ProductId_15,financial_services,ChannelId_3,500.0,500,2018-11-15 04:52:37+00:00,2,0,Thursday,4
ProductId_11,data_bundles,ChannelId_3,1000.0,1000,2018-11-15 04:54:00+00:00,2,0,Thursday,4
ProductId_6,financial_services,ChannelId_2,-10.0,10,2018-11-15 04:54:18+00:00,2,0,Thursday,4
ProductId_3,airtime,ChannelId_3,500.0,500,2018-11-15 04:56:25+00:00,4,0,Thursday,4
ProductId_6,financial_services,ChannelId_2,-25.0,25,2018-11-15 04:57:00+00:00,2,0,Thursday,4
ProductId_3,airtime,ChannelId_3,500.0,500,2018-11-15 04:59:02+00:00,4,0,Thursday,4
ProductId_6,financial_services,ChannelId_2,-25.0,25,2018-11-15 04:59:41+00:00,2,0,Thursday,4
ProductId_3,airtime,ChannelId_3,1000.0,1000,2018-11-15 04:59:51+00:00,2,0,Thursday,4
ProductId_10,airtime,ChannelId_3,500.0,500,2018-11-15 05:06:25+00:00,2,0,Thursday,5
ProductId_6,financial_services,ChannelId_2,-10.0,10,2018-11-15 05:06:39+00:00,2,0,Thursday,5
ProductId_3,airtime,ChannelId_3,1000.0,1000,2018-11-15 05:37:24+00:00,2,0,Thursday,5
ProductId_19,tv,ChannelId_3,3500.0,3500,2018-11-15 05:38:25+00:00,2,0,Thursday,5
ProductId_6,financial_services,ChannelId_2,-70.0,70,2018-11-15 05:38:35+00:00,2,0,Thursday,5
ProductId_15,financial_services,ChannelId_3,2000.0,2000,2018-11-15 05:38:37+00:00,2,0,Thursday,5
ProductId_4,airtime,ChannelId_3,2000.0,2000,2018-11-15 05:43:41+00:00,2,0,Thursday,5
ProductId_6,financial_services,ChannelId_2,-100.0,100,2018-11-15 05:44:06+00:00,2,0,Thursday,5
ProductId_15,financial_services,ChannelId_3,10000.0,10000,2018-11-15 05:49:37+00:00,2,0,Thursday,5
ProductId_3,airtime,ChannelId_3,1500.0,1500,2018-11-15 05:50:14+00:00,2,0,Thursday,5
ProductId_6,financial_services,ChannelId_2,-67.25,68,2018-11-15 05:50:48+00:00,2,0,Thursday,5
ProductId_3,airtime,ChannelId_3,1000.0,1000,2018-11-15 05:52:57+00:00,2,0,Thursday,5
ProductId_6,financial_services,ChannelId_2,-50.0,50,2018-11-15 05:53:27+00:00,2,0,Thursday,5
ProductId_15,financial_services,ChannelId_3,2200.0,2200,2018-11-15 05:54:12+00:00,2,0,Thursday,5
ProductId_15,financial_services,ChannelId_3,2200.0,2200,2018-11-15 05:55:12+00:00,2,0,Thursday,5
ProductId_15,financial_services,ChannelId_3,8000.0,8000,2018-11-15 06:01:28+00:00,2,0,Thursday,6
